time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1761602706756056832,0.6680567264556885,0.05994274467229843,-0.5777494311332703,1.1771634817123413,0.07289931178092957,0.5769347548484802,-0.8135305643081665,-0.054985493421554565,0.08988958597183228,0.063362717628479,0.545219751097508,-0.20483200310793392,-0.22644771303995662,0.7807052602893901,-0.6149708939646783,0.08936987857240632,1.9507297362579235
1761602706766100736,0.6781005859375,0.10954704880714417,-0.5155723094940186,1.1734461784362793,0.07530739158391953,0.5754414796829224,-0.8143684267997742,-0.05609658360481262,0.08314311504364014,0.06957167387008667,0.5400395408842107,-0.20384207431859194,-0.22641597826048596,0.7845646012849371,-0.613143860571123,0.09221112035053984,1.965099189625602
1761602706776145664,0.688145637512207,0.3514304459095001,-0.5981036424636841,1.0237447023391724,0.07724197953939438,0.5727853775024414,-0.8160579800605774,-0.07681474089622498,0.1010274887084961,0.06361657381057739,0.5352831435448445,-0.20235932235583182,-0.22587984029310684,0.788353402558879,-0.609899825897228,0.09437140163685805,1.9783480233209367
1761602706786189824,0.6981897354125977,0.515562117099762,-0.6819719076156616,0.9594385027885437,0.07749667763710022,0.5682665109634399,-0.8191870450973511,-0.09029880911111832,0.07794320583343506,-0.024761319160461426,0.5311370746285383,-0.19965823135328647,-0.22481783233322766,0.7921407616140242,-0.604397621733475,0.09432121907592228,1.9897015914486895
1761602706796234752,0.7082347869873047,0.23171566426753998,-0.5745468139648438,1.0275436639785767,0.07790003716945648,0.5642143487930298,-0.8219451308250427,-0.05185329169034958,-0.042485833168029785,-0.083831787109375,0.5268586140671181,-0.19718410861732782,-0.22393269678821168,0.7958597233151903,-0.5994813299241326,0.09449298064412863,2.0012868756775446
1761602706806278656,0.7182786464691162,-0.1862136721611023,-0.4635816812515259,1.0096409320831299,0.07947060465812683,0.5632873177528381,-0.8224304914474487,-0.03508280962705612,-0.08434444665908813,-0.03306877613067627,0.5221796169927722,-0.19624409382968327,-0.22421646301805775,0.7990893783597407,-0.5983589777393454,0.09632989638288587,2.0137062356994657
1761602706816323840,0.7283236980438232,-0.3640671372413635,-0.4470955729484558,0.8966571092605591,0.0811697244644165,0.5649101138114929,-0.8211504220962524,-0.0571676641702652,-0.08196943998336792,0.007200837135314941,0.5175591048965291,-0.1962755791401509,-0.2256117707767393,0.8016906147542261,-0.6003243054375886,0.09852870943176077,2.0255810815095714
1761602706826367744,0.7383677959442139,-0.4391786754131317,-0.4994693100452423,0.8388441801071167,0.08217256516218185,0.5675212740898132,-0.8192480206489563,-0.07417695969343185,-0.11018490791320801,-0.014080226421356201,0.5131641588485083,-0.19639527640215895,-0.2276068927823967,0.8039194457888768,-0.6034921833647272,0.09996807847308924,2.0364790755691877
1761602706836412672,0.7484126091003418,-0.49172934889793396,-0.5401843786239624,0.8501001000404358,0.08273961395025253,0.5705927610397339,-0.8170545101165771,-0.06323888152837753,-0.1284388303756714,-0.0076982975006103516,0.5087254919512618,-0.1964541119445981,-0.22995332890088868,0.8060555535869455,-0.6072274488634702,0.10092168688828115,2.0472456852978382
1761602706846456832,0.7584567070007324,-0.4886922836303711,-0.4947468042373657,0.8469905853271484,0.0834050253033638,0.5740971565246582,-0.8145281672477722,-0.0518803671002388,-0.1058812141418457,0.02650320529937744,0.504171142957192,-0.19666014764622852,-0.2325096056115038,0.8081309248193198,-0.6115010513837102,0.10204109576846399,2.0582499089831687
1761602706856501760,0.7685017585754395,-0.5157415270805359,-0.4800836741924286,0.9298679828643799,0.08454293012619019,0.5772971510887146,-0.8121456503868103,-0.05791635811328888,-0.0544089674949646,0.0013241171836853027,0.4995236932068921,-0.1969360234945379,-0.2348262830404019,0.8102771408875477,-0.6154146625304233,0.10372464799700357,2.0696778050130975
1761602706866545664,0.778545618057251,-0.4215620458126068,-0.6411535739898682,0.9253517985343933,0.08557013422250748,0.5805456638336182,-0.8097187876701355,-0.008223339915275574,0.031423330307006836,-0.021457970142364502,0.49456041303657816,-0.19707291810374641,-0.23728225022503277,0.812569667591882,-0.6193986699374782,0.10528803846972092,2.0818195449379453
1761602706876590848,0.788590669631958,-0.05786691606044769,-0.8261891603469849,0.8233063817024231,0.0846279039978981,0.5817000865936279,-0.8089889883995056,0.03895300626754761,0.06508946418762207,-0.018983423709869385,0.4898707021524168,-0.19565895605834915,-0.23921344963931387,0.8151817649863975,-0.6208171958427944,0.10423036450693388,2.092842326152107
1761602706886635776,0.798635721206665,-0.06825244426727295,-0.7807327508926392,0.875471830368042,0.08285284787416458,0.5812591314315796,-0.8094894289970398,0.018496021628379822,-0.034841954708099365,-0.02037501335144043,0.48543593720862205,-0.1933895526427835,-0.24053223189519843,0.8179832489362368,-0.620275240090839,0.10199680170746653,2.103120243866638
1761602706896679680,0.8086795806884766,-0.3379872441291809,-0.6825371980667114,1.0691502094268799,0.08263041079044342,0.5821085572242737,-0.8089016079902649,-0.027698777616024017,-0.09072983264923096,-0.04153168201446533,0.48035321015093924,-0.19207275221885814,-0.24219258214459757,0.8207993432130017,-0.621319480196441,0.10179826524998795,2.115329770194565
