time_watch,seconds_elapsed_watch,rotationRateX_watch,rotationRateY_watch,rotationRateZ_watch,gravityX_watch,gravityY_watch,gravityZ_watch,accelerationX_watch,accelerationY_watch,accelerationZ_watch,quaternionW_watch,quaternionX_watch,quaternionY_watch,quaternionZ_watch,pitch_watch,roll_watch,yaw_watch,t_rel_watch,time_imu,seconds_elapsed_imu,rotationRateX_imu,rotationRateY_imu,rotationRateZ_imu,gravityX_imu,gravityY_imu,gravityZ_imu,accelerationX_imu,accelerationY_imu,accelerationZ_imu,quaternionW_imu,quaternionX_imu,quaternionY_imu,quaternionZ_imu,pitch_imu,roll_imu,yaw_imu,t_rel_imu,seconds_shifted,t_rel_shifted
1763354779295836416,4.66283655166626,-0.1424027681350708,0.0776668339967727,-0.0034767440520226,0.0502310805022716,-0.2191977947950363,-0.9743865728378296,-0.0083762221038341,0.0441184490919113,0.0063689947128295,0.401073991422395,0.0214005948612272,0.1111248613476998,0.9090285772174984,0.2209921920634086,0.0515058954835334,2.3048338719528605,0.0,,,,,,,,,,,,,,,,,,,,,
1763354779305883392,4.6728835105896,-0.1610539406538009,0.0981633216142654,-0.0220887772738933,0.0511316955089569,-0.2177306115627288,-0.9746686220169068,-0.0120844468474388,0.0323668420314788,0.0135632753372192,0.4011103781280057,0.0206873624180749,0.110624224824579,0.9090901350503408,0.2194886961927261,0.0524125474082906,2.3047561713896925,0.010046958923339844,,,,,,,,,,,,,,,,,,,,,
1763354779315929344,4.682929515838623,-0.2038515210151672,0.1158962771296501,-0.0282858647406101,0.0522494576871395,-0.215928167104721,-0.9750102758407592,-0.0162387117743492,0.0107127130031585,0.0108989477157592,0.4011858986826444,0.0198098677656036,0.1100110609523514,0.909150774472494,0.2176423168789401,0.0535374153223924,2.3045923973733276,0.02009296417236328,,,,,,,,,,,,,,,,,,,,,
1763354779325975296,4.6929755210876465,-0.2233383953571319,0.1092436984181404,-0.0376351587474346,0.0534352026879787,-0.2137970924377441,-0.9754155278205872,-0.0125416480004787,-0.0080199092626571,0.0165990591049194,0.4013030567159834,0.0188383593302367,0.1092581584824756,0.909210406671734,0.2154602834780228,0.0547272837064067,2.3043553384150366,0.03013896942138672,,,,,,,,,,,,,,,,,,,,,
1763354779336022272,4.703022480010986,-0.2270792722702026,0.0813342332839965,-0.0364631004631519,0.0545024499297142,-0.2115483433008194,-0.9758467078208924,-0.0048045739531517,-0.0142969936132431,0.0057691931724548,0.4014445210843785,0.0179000070216138,0.1084261945513542,0.9092665339186776,0.2131588828238574,0.0557934799326209,2.3040901296138507,0.04018592834472656,,,,,,,,,,,,,,,,,,,,,
1763354779346068480,4.71306848526001,-0.1944779157638549,0.0357584990561008,-0.0303977504372596,0.055152278393507,-0.2094298154115677,-0.9762670397758484,0.0097586102783679,-0.0032624304294586,-0.0043847560882568,0.4015866214374531,0.0171804593988832,0.1075699751750464,0.9093193695317549,0.2109918011067487,0.0564330384106878,2.303864910753767,0.05023193359375,,,,,,,,,,,,,,,,,,,,,
1763354779356114432,4.723114490509033,-0.1568926274776458,0.0030228220857679,-0.0156291928142309,0.0550729036331176,-0.206334039568901,-0.9769304990768432,0.0221213102340698,0.0208634734153747,-0.0115643143653869,0.4017357527654032,0.0165946547062553,0.1061101176450282,0.9094359402278814,0.207826890894488,0.0563138064898731,2.3037880415948946,0.06027793884277344,,,,,,,,,,,,,,,,,,,,,
1763354779366161408,4.733161449432373,-0.1168661117553711,-0.0345043130218982,-0.0106440205127,0.054661326110363,-0.2039907276630401,-0.9774456024169922,0.0245165415108203,0.0416982471942901,-0.0106830596923828,0.4018399026621208,0.0163116514934898,0.1049338942085098,0.909531562882648,0.2054326407253906,0.055864441145545,2.3037887113520887,0.07032489776611328,,,,,,,,,,,,,,,,,,,,,
1763354779376207360,4.7432074546813965,-0.044728972017765,-0.0677446573972702,-0.0160293765366077,0.0538247488439083,-0.2024716436862945,-0.9778078198432922,0.0218893662095069,0.0489682257175445,-0.0109311938285827,0.4019367838676341,0.0163931185838625,0.1040545786344036,0.9095882514477038,0.2038811794674882,0.0549908498585853,2.3037897118173594,0.08037090301513672,,,,,,,,,,,,,,,,,,,,,
1763354779386253312,4.75325345993042,-0.0071858563460409,-0.1081362888216972,-0.0277723185718059,0.0526442937552928,-0.2018291503190994,-0.9780048727989196,0.0198196955025196,0.0475475341081619,-0.0176768898963928,0.4020913707034997,0.0168199171156258,0.1035115654423533,0.9095740412754392,0.2032251490315436,0.0537763541237205,2.303635881969813,0.09041690826416016,,,,,,,,,,,,,,,,,,,,,
1763354779396300288,4.76330041885376,0.0300938058644533,-0.1429658383131027,-0.0169305019080638,0.0510107018053531,-0.202099472284317,-0.9780356287956238,0.0228723585605621,0.0492826998233795,-0.0121682286262512,0.4022339490107688,0.0176417624996686,0.1033002796783954,0.909519538553864,0.2035011609980126,0.0521090666558559,2.303492287471541,0.1004638671875,,,,,,,,,,,,,,,,,,,,,
1763354779406346240,4.773346424102783,0.0562566965818405,-0.1771416515111923,-0.0041153701022267,0.0492154024541378,-0.2032002359628677,-0.9778995513916016,0.0260104313492774,0.0427998453378677,-0.0091457366943359,0.4023363603732063,0.0187049635661448,0.103442512557413,0.9094368217888696,0.2046252409360923,0.0502852405331426,2.3033944039223972,0.11050987243652344,,,,,,,,,,,,,,,,,,,,,
1763354779416392448,4.783392429351807,0.0641008093953132,-0.1889064759016037,0.0103915799409151,0.0474697165191173,-0.2044828385114669,-0.977718472480774,0.0210117362439632,0.0303190201520919,-0.010440707206726,0.4023991755140304,0.0197786989338672,0.1036801330188341,0.9093592303325,0.2059353508155006,0.0485134220017204,2.3033656077890536,0.12055587768554688,,,,,,,,,,,,,,,,,,,,,
1763354779426440192,4.793440341949463,0.0377187319099903,-0.1791028380393982,0.0117290187627077,0.0460922233760356,-0.2052197605371475,-0.9776299595832824,0.0107772797346115,0.0164685398340225,-0.002518355846405,0.4024498910316065,0.0205692892992505,0.1037396758240982,0.9093123897900632,0.2066882426730914,0.0471120142571677,2.303361079413287,0.13060379028320312,,,,,,,,,,,,,,,,,,,,,
1763354779436486144,4.803486347198486,-0.0128748342394828,-0.1575273424386978,0.0165962111204862,0.0451974309980869,-0.2048557102680206,-0.9777480959892272,-0.0037393011152744,0.0011508762836456,0.0089523196220397,0.4025162231711833,0.0209121780893857,0.1033858539526646,0.9093155356397132,0.2063162867827176,0.0461931639916388,2.303345720870548,0.14064979553222656,,,,,,,,,,,,,,,,,,,,,
1763354779446532352,4.81353235244751,-0.0618980377912521,-0.1446019560098648,0.01633096113801,0.0444827675819397,-0.2034422606229782,-0.978075921535492,-0.0133548416197299,-0.0112183690071105,0.0216856002807617,0.4025931784496837,0.0209562737724206,0.1025810326158291,0.909371593807474,0.2048724305542533,0.0454485532624697,2.3033601207611603,0.15069580078125,,,,,,,,,,,,,,,,,,,,,
1763354779456579328,4.82357931137085,-0.0785539746284484,-0.110521487891674,0.0173323974013328,0.0438368842005729,-0.2016492784023285,-0.9784762859344482,-0.0174239166080951,-0.0222429186105728,0.0230472683906555,0.4026481979620997,0.0208877613476492,0.1016146839849435,0.909457323642881,0.2030414961536971,0.0447712318994309,2.3034398569259684,0.16074275970458984,,,,,,,,,,,,,,,,,,,,,
1763354779466625280,4.833625316619873,-0.0688246563076973,-0.0781624838709831,0.0267211068421602,0.0434119291603565,-0.1999501436948776,-0.978843867778778,-0.0173346661031246,-0.0117197632789611,0.0080492496490478,0.4026527722171924,0.0207317450729524,0.1007385428815598,0.909556285728156,0.2013070319244806,0.0443211634633001,2.303596643854814,0.17078876495361328,,,,,,,,,,,,,,,,,,,,,
1763354779476671232,4.8436713218688965,-0.0801494494080543,-0.0700515881180763,0.0351263955235481,0.0432377122342586,-0.1982481479644775,-0.9791977405548096,-0.0120792724192142,0.01393723487854,0.0005295276641845,0.4026080538441594,0.0204548103029213,0.0999136758200657,0.909673283037496,0.1995702672342865,0.0441275986432527,2.3038322798711204,0.18083477020263672,,,,,,,,,,,,,,,,,,,,,
