time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
910436,0.89990797,0.09366157,-0.07647473,0.07714089,-0.03601313,-0.00829526,0.99931678,-0.00866460,-0.01807192,0.03754842,0.00000507,-0.01800966,-0.00414825,0.99982919,0.03602092,-0.00830075,3.14143300
943220,0.93269195,0.11324656,-0.22369525,0.05355895,-0.03672092,-0.01012946,0.99927396,-0.00234158,-0.00671624,-0.01221341,0.00001558,-0.01836388,-0.00506537,0.99981842,0.03672919,-0.01013648,3.14137530
976084,0.96555604,0.05249311,-0.16973661,0.06448392,-0.03841967,-0.01112078,0.99919958,-0.00406080,-0.00279524,-0.04070347,0.00001473,-0.01921376,-0.00556122,0.99979982,0.03842913,-0.01112923,3.14134931
1008940,0.99841203,-0.01718683,0.06435069,0.02784533,-0.03646188,-0.01145962,0.99926939,0.03377633,-0.00563022,-0.00610530,0.00002103,-0.01823439,-0.00573048,0.99981727,0.03646996,-0.01146750,3.14134144
1041876,1.03134799,-0.01878561,0.03890352,0.00146554,-0.03557711,-0.00967407,0.99932012,0.00286227,0.00552368,-0.00322634,0.00000705,-0.01779161,-0.00483773,0.99983005,0.03558462,-0.00968034,3.14140629
1074820,1.06429195,-0.03330781,0.05888820,-0.01452220,-0.03359416,-0.00981415,0.99938735,0.01992229,-0.00141632,0.00744861,0.00001437,-0.01679973,-0.00490758,0.99984683,0.03360049,-0.00981985,3.14139890
1107724,1.09719598,-0.02664625,0.11417918,0.01079173,-0.03374520,-0.01181408,0.99936046,-0.00165519,-0.01064686,0.02944809,0.00002978,-0.01687547,-0.00590748,0.99984006,0.03375161,-0.01182109,3.14133358
1140632,1.13010394,0.02184992,0.08153753,-0.00452986,-0.03176369,-0.01190373,0.99942455,0.01589455,-0.00103572,0.02205986,0.00003696,-0.01588435,-0.00595213,0.99985609,0.03176903,-0.01191002,3.14132952
1173480,1.16295194,0.05235988,0.07087903,-0.04396631,-0.03265380,-0.01369040,0.99937248,-0.00640870,-0.01292092,0.00380135,0.00005260,-0.01632982,-0.00684542,0.99984302,0.03265962,-0.01369814,3.14126372
1206344,1.19581604,0.02331547,0.07980552,-0.01318989,-0.03454805,-0.01435992,0.99929962,-0.02868437,-0.01029828,0.00655973,0.00005295,-0.01727744,-0.00718030,0.99982481,0.03455494,-0.01436899,3.14123845
1239228,1.22870004,0.04756355,0.07634150,-0.00759418,-0.03619915,-0.01549460,0.99922428,-0.01653523,-0.01136087,0.01933044,0.00005758,-0.01810354,-0.00774776,0.99980602,0.03620707,-0.01550539,3.14119672
1272084,1.26155602,0.02078407,0.06834763,0.01025880,-0.03780209,-0.01669775,0.99914569,-0.01151431,-0.00893702,-0.01647967,0.00006154,-0.01890560,-0.00834949,0.99978637,0.03781110,-0.01671047,3.14115357
1305000,1.29447197,0.00786064,0.07807350,-0.02158346,-0.03961898,-0.01755300,0.99906044,-0.01238297,-0.00588450,0.00289267,0.00006416,-0.01981471,-0.00877729,0.99976501,0.03962936,-0.01756770,3.14111614
1337916,1.32738804,-0.00612864,0.14189126,0.03623890,-0.04163919,-0.01762383,0.99897689,-0.02281393,-0.00093086,0.00712657,0.00005310,-0.02082540,-0.00881306,0.99974412,0.04165124,-0.01764005,3.14111900
1370832,1.36030399,0.01692037,0.13869371,0.00559571,-0.04364476,-0.01786234,0.99888725,-0.01446070,-0.00191305,0.01087832,0.00004651,-0.02182887,-0.00893264,0.99972171,0.04365864,-0.01788033,3.14110922
1403676,1.39314794,0.01279020,0.02997703,0.01358959,-0.04561064,-0.01823179,0.99879302,-0.03812959,-0.00740298,0.01585543,0.00004062,-0.02281258,-0.00911772,0.99969825,0.04562647,-0.01825179,3.14109492
1436568,1.42604007,0.03783767,0.02717917,0.02917764,-0.04741529,-0.01908553,0.99869270,-0.03681322,-0.01753557,0.01912958,0.00003986,-0.02371578,-0.00954494,0.99967308,0.04743309,-0.01910819,3.14105963
1469452,1.45892405,0.03477335,0.05182695,0.05049464,-0.04902966,-0.02026354,0.99859151,-0.01737659,-0.01293958,-0.00762469,0.00004184,-0.02452389,-0.01013431,0.99964771,0.04904934,-0.02028934,3.14101123
1502332,1.49180402,0.01065850,0.05329250,0.03717151,-0.05091751,-0.02093088,0.99848327,-0.03306686,-0.01178397,-0.00458676,0.00003742,-0.02546881,-0.01046846,0.99962062,0.05093955,-0.02095960,3.14098381
1535196,1.52466797,0.01638744,0.02078407,0.05275957,-0.05275244,-0.02171619,0.99837150,-0.01536279,-0.00660413,0.01652110,0.00003335,-0.02638733,-0.01086163,0.99959278,0.05277694,-0.02174818,3.14095187
1568060,1.55753192,0.02931087,0.01252374,0.05009494,-0.05461888,-0.02099593,0.99828634,-0.01740260,0.00634749,0.00684065,0.00000941,-0.02732125,-0.01050221,0.99957141,0.05464609,-0.02102887,3.14099907
1600964,1.59043598,0.01398928,0.03224196,0.04689740,-0.05265754,-0.02132613,0.99838447,0.00138801,-0.00015824,-0.00253487,0.00002018,-0.02633963,-0.01066684,0.99959592,0.05268192,-0.02135739,3.14098954
1633856,1.62332797,0.01279020,0.01305666,0.01545482,-0.05456822,-0.02073899,0.99829454,-0.00549037,0.00145188,0.00585586,0.00000116,-0.02729577,-0.01037388,0.99957351,0.05459534,-0.02077143,3.14102315
1666732,1.65620398,0.02877795,0.02837825,0.02558040,-0.05588088,-0.02223975,0.99818954,-0.01199020,-0.01316064,0.01474994,0.00001274,-0.02795324,-0.01112456,0.99954719,0.05591002,-0.02227641,3.14094424
1699612,1.68908405,0.01532159,0.02398162,0.00919296,-0.05778861,-0.02282607,0.99806747,-0.01447701,-0.00451768,0.00583875,0.00000953,-0.02890839,-0.01141828,0.99951667,0.05782084,-0.02286628,3.14091229
1732464,1.72193598,0.02171669,0.00799387,0.03184226,-0.05961428,-0.02362245,0.99794197,-0.01240720,-0.00543029,0.00669670,0.00000811,-0.02982258,-0.01181706,0.99948539,0.05964965,-0.02366674,3.14087033
1765284,1.75475597,0.02704594,0.00826034,0.02664625,-0.06128015,-0.02471180,0.99781446,-0.01269446,-0.00824718,0.00584763,0.00001232,-0.03065699,-0.01236228,0.99945344,0.06131858,-0.02476087,3.14080858
1798120,1.78759202,0.02904441,0.00546248,0.03877029,-0.06299239,-0.02572466,0.99768266,-0.00512285,-0.00283980,0.01794237,0.00001413,-0.03151464,-0.01286934,0.99942054,0.06303412,-0.02577870,3.14075160
1830928,1.82040004,0.03304135,-0.01652067,0.05955436,-0.06489272,-0.02630230,0.99754543,-0.01835924,-0.00568013,0.00489599,0.00000586,-0.03246636,-0.01315903,0.99938611,0.06493836,-0.02636091,3.14072465
1863768,1.85324001,0.03970291,-0.00772741,0.06781470,-0.06290328,-0.02618376,0.99767599,0.04019820,0.00201384,0.01233375,0.00001128,-0.03147008,-0.01309914,0.99941883,0.06294485,-0.02623874,3.14074397
1896620,1.88609199,0.03890352,-0.03317458,0.02904441,-0.06135573,-0.02491594,0.99780483,0.00154128,0.00099016,-0.01050013,-0.00000083,-0.03069471,-0.01246484,0.99945106,0.06139430,-0.02496556,3.14082765
1929500,1.91897201,0.02651302,-0.04649770,0.02145023,-0.05935898,-0.02479052,0.99792852,0.01321641,0.00062059,0.00915152,0.00000774,-0.02969498,-0.01240145,0.99948196,0.05939392,-0.02483687,3.14083933
