t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761072573010062336,5.979062557220459,0.0054424745030701,-0.1472013145685196,-0.4010140299797058,-0.3143461942672729,0.8343923687934875,-0.4527426958084106,0.1623686254024505,-0.089381992816925,-0.1542366743087768,0.2852478137056777,-0.3376144413896867,0.3995561816077556,-0.8031220960802217,-0.9870294082608136,-0.6069005348764596,-2.7927697888071266,5700,0.42721200800068954,backhand,backhands_watch-right
10,1761072573020108544,5.989108562469482,0.0503817163407802,-0.1532450914382934,-0.4018486440181732,-0.3184942305088043,0.8329629898071289,-0.4524755179882049,0.1582616865634918,-0.0902566909790039,-0.1432581543922424,0.2839586326359367,-0.3390320444359823,0.3985216640847467,-0.8034956751852581,-0.9844411967458196,-0.6133337682951562,-2.798585556172373,5710,0.4330181382928644,backhand,backhands_watch-right
20,1761072573030154496,5.999154567718506,0.0815029889345169,-0.148310899734497,-0.4035212099552154,-0.3226265609264374,0.8313257694244385,-0.4525588750839233,0.1563667953014373,-0.0911066532135009,-0.1253372430801391,0.2827235289802436,-0.3403739843595417,0.3973236918629675,-0.8039569555584275,-0.981488826055074,-0.6193274108369694,-2.803938059827466,5720,0.43757082520323154,backhand,backhands_watch-right
30,1761072573040200448,6.009200572967529,-0.005068389698863,-0.1406891942024231,-0.4022687375545501,-0.3266934156417846,0.829786479473114,-0.4524663090705871,0.1504391729831695,-0.0794508457183837,-0.0824305117130279,0.2813806357748176,-0.3416793823311448,0.3962600650181435,-0.804399198906124,-0.9787249811540322,-0.6253574899197386,-2.8095943169619138,5730,0.4261915944187522,backhand,backhands_watch-right
40,1761072573050245632,6.019245624542236,-0.1451584100723266,-0.1143528968095779,-0.3994056284427643,-0.3306566774845123,0.828812301158905,-0.4513715803623199,0.1315905451774597,-0.0474402904510498,-0.05784472823143,0.2797129414533624,-0.3430474589184812,0.3957684376099853,-0.8046405526837224,-0.9769816417503596,-0.6322456574610559,-2.8167053105779183,5740,0.440082270780393,backhand,backhands_watch-right
50,1761072573060291584,6.02929162979126,-0.2602067291736603,-0.0699731782078743,-0.4069889783859253,-0.3344715237617492,0.8283712863922119,-0.4493660926818847,0.0975025296211242,-0.0404531955718994,-0.0735831260681152,0.27773002321739,-0.3444362529213856,0.3958290267594293,-0.8047043916009375,-0.9761939226875423,-0.6398550512847536,-2.8251794465727422,5750,0.48810225988350503,backhand,backhands_watch-right
60,1761072573070337536,6.039337635040283,-0.3625137209892273,-0.0368806384503841,-0.4021275639533996,-0.3381307721138,0.8283862471580505,-0.4465912878513336,0.0665243566036224,-0.0333576202392578,-0.0736113488674163,0.2754284194459679,-0.3458007953768052,0.3963914372200178,-0.8046333407056354,-0.976220658199445,-0.6480531413203466,-2.8349425527328713,5760,0.5426628392372733,backhand,backhands_watch-right
70,1761072573080383488,6.049383640289307,-0.374747484922409,-0.017302943393588,-0.3714098632335663,-0.3415098488330841,0.8287318348884583,-0.4433671832084656,0.0536528229713439,-0.019405722618103,-0.0720899403095245,0.2730359452450921,-0.3471051552806267,0.3972838034702248,-0.8044469428525491,-0.9768378825257422,-0.6563445254754136,-2.8451430428439166,5770,0.5279018429717113,backhand,backhands_watch-right
80,1761072573090429440,6.05942964553833,-0.2873582541942596,-0.0274101737886667,-0.3313653469085693,-0.3445842564105987,0.8290010690689087,-0.4404756724834442,0.0496166348457336,-0.0106875896453857,-0.0787045955657959,0.2709455138393008,-0.3483209263083898,0.398038561402553,-0.8042551234333962,-0.9773191417204808,-0.6638548836697917,-2.8541846223089387,5780,0.43946453441948424,backhand,backhands_watch-right
90,1761072573100474624,6.069474697113037,-0.1568939983844757,-0.0567643344402313,-0.2763817310333252,-0.3473465144634247,0.8289139270782471,-0.4384656548500061,0.0502731502056121,0.0177505016326904,-0.0841173529624939,0.2693258403550113,-0.3493827550909685,0.398370260594793,-0.804174401718863,-0.9771633266182356,-0.6699583586273024,-2.8611914024915275,5790,0.32283862476861036,backhand,backhands_watch-right
100,1761072573110520576,6.0795207023620605,-0.0567698329687118,-0.0858971551060676,-0.2331476062536239,-0.3498076200485229,0.828463077545166,-0.4373597800731659,0.0551451444625854,0.0290961265563964,-0.0849790573120117,0.2682510767078426,-0.3503283219064879,0.3982338195172678,-0.8041898077863443,-0.9763577602110114,-0.674629123562522,-2.865950220530299,5800,0.25487044060150665,backhand,backhands_watch-right
110,1761072573120566528,6.089566707611084,-0.0685418099164962,-0.1172944903373718,-0.2111893147230148,-0.3521346151828766,0.8279151320457458,-0.4365291595458984,0.0491866469383239,0.0070762634277343,-0.0632419288158416,0.2674510573257905,-0.3512722051979047,0.3979236869378119,-0.8041980383798577,-0.9753801248754452,-0.6787943065216497,-2.8697218727870615,5810,0.2511113375045211,backhand,backhands_watch-right
120,1761072573130612736,6.099612712860107,-0.144661471247673,-0.1290058642625808,-0.2109413743019104,-0.3544645607471466,0.8276118040084839,-0.4352168142795563,0.0297574996948242,-0.0039576292037963,-0.0421238541603088,0.2666626474223083,-0.352351634612296,0.3977938059693008,-0.8040519655732933,-0.9748395223577676,-0.6834930688043996,-2.8738509068776503,5820,0.28647114631329873,backhand,backhands_watch-right
130,1761072573140658688,6.109658718109131,-0.2124541103839874,-0.1237722262740135,-0.2141241133213043,-0.3568310439586639,0.8276161551475525,-0.4332704544067383,0.004276692867279,-0.0060217976570129,-0.0408964753150939,0.2656559362345381,-0.3535094900968729,0.3979897181979757,-0.8037800060146951,-0.974847223635339,-0.6889520304783335,-2.8790595441308025,5830,0.3260451639290359,backhand,backhands_watch-right
140,1761072573150704640,6.119704723358154,-0.2567381858825683,-0.094985619187355,-0.2207966595888137,-0.3591661155223846,0.8278661966323853,-0.4308566153049469,-0.0151777863502502,-0.0066990852355957,-0.0587064027786254,0.2645631343994369,-0.3547337213610146,0.3984164558072002,-0.8033895541602943,-0.9752928094705045,-0.6949011561253032,-2.8848604426376054,5840,0.35169294679913027,backhand,backhands_watch-right
150,1761072573160749312,6.129749536514282,-0.2101837247610092,-0.051197126507759,-0.2521388828754425,-0.3614571094512939,0.8280115723609924,-0.4286555647850036,-0.0323570072650909,-0.0293818712234497,-0.0885563492774963,0.26334067714709,-0.355815321787975,0.3988328951827775,-0.8031061502190561,-0.9755521262767765,-0.7005531285687583,-2.8907878376887437,5850,0.332223358863791,backhand,backhands_watch-right
160,1761072573170795520,6.139795541763306,-0.2074469625949859,-0.0154030118137598,-0.2872965037822723,-0.3638921976089477,0.8278937339782715,-0.4268191456794739,-0.0406946241855621,-0.0533118247985839,-0.0856625437736511,0.2619293871788273,-0.3567751450981968,0.3991264505508923,-0.8029960945643165,-0.9753419876260108,-0.7059828407651252,-2.896935466817492,5860,0.3546981479347439,backhand,backhands_watch-right
170,1761072573180841472,6.149841547012329,-0.2129397392272949,-0.0054361312650144,-0.3162490725517273,-0.3664923310279846,0.8276519775390625,-0.4250594079494476,-0.0236290991306304,-0.0443726181983947,-0.0621689856052398,0.2603446612509106,-0.3577077282407329,0.3993938894582643,-0.8029634449916564,-0.9749110721880412,-0.7115425328446376,-2.903512102496986,5870,0.3812956332757385,backhand,backhands_watch-right
