t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761072579519751424,12.488751411437988,0.2727361023426056,-0.0135283470153808,-0.0581763237714767,-0.2745932936668396,0.8717535138130188,-0.4057639837265014,0.0338553488254547,-0.1522405743598938,-0.0265175104141235,0.3193000197206733,-0.3494289405088539,0.418350830173317,-0.7751964506186934,-1.0587699644361577,-0.5949382588205717,-2.7151174255807686,12180,0.27919971766025925,backhand,backhands_watch-right
10,1761072579529797376,12.498797416687012,0.2965144217014313,-0.0122622791677713,-0.1015445739030838,-0.2753731906414032,0.870359480381012,-0.4082204103469848,0.019895315170288,-0.1519299745559692,-0.0340403020381927,0.3195026232171332,-0.3491964409176343,0.4170751039402022,-0.7759047768913647,-1.0559318997846,-0.5934541243976299,-2.713265875185437,12190,0.3136597938156585,backhand,backhands_watch-right
20,1761072579539843328,12.508843421936035,0.3211857378482818,-0.0339119806885719,-0.1285212337970733,-0.2764874100685119,0.8687581419944763,-0.4108699262142181,0.0221386551856994,-0.1446523070335388,-0.0220981836318969,0.3196329228938114,-0.3490276798288797,0.4156256878489662,-0.7767044743885722,-1.0526891641876208,-0.5923274221615381,-2.7117234399381935,12200,0.347603233828584,backhand,backhands_watch-right
30,1761072579549889280,12.51888942718506,0.351585179567337,-0.0482933185994625,-0.1389363259077072,-0.2778449356555938,0.8669637441635132,-0.4137343168258667,0.0276008248329162,-0.1403402090072631,-0.0221024751663208,0.319790841283414,-0.3489258385904151,0.4139850319616436,-0.7775609209892392,-1.0490772855337966,-0.5913785509462699,-2.7101415288759263,12210,0.3811137438737659,backhand,backhands_watch-right
40,1761072579559934464,12.528934478759766,0.3493512868881225,-0.0621829964220523,-0.1498411744832992,-0.2793523371219635,0.8650534749031067,-0.4167068600654602,0.0250646770000457,-0.1372398138046264,-0.0236922800540924,0.3199635397990857,-0.3488696933427831,0.4122335501760022,-0.7784450374882452,-1.0452569774351512,-0.5905696256241552,-2.7085621116123595,12220,0.38518232600282526,backhand,backhands_watch-right
50,1761072579569980416,12.538980484008787,0.2703574001789093,-0.0835034698247909,-0.137662798166275,-0.2809719741344452,0.8632972240447998,-0.4192523956298828,0.0252041816711425,-0.1242225170135498,-0.0140209197998046,0.3200859231491693,-0.3489626362783049,0.4106079488334759,-0.7792118349442262,-1.0417666632163545,-0.5904267262256967,-2.707527903661589,12230,0.3146696669576641,backhand,backhands_watch-right
60,1761072579580026368,12.549026489257812,0.1516350358724594,-0.0963678956031799,-0.1188208535313606,-0.2824995517730713,0.861996054649353,-0.4209000468254089,0.0359022617340087,-0.1164973974227905,-0.0103896260261535,0.3201343198554667,-0.3492330013473196,0.4093730472128759,-0.7797205095154305,-1.0391942505122669,-0.5911204775777436,-2.7072926683872898,12240,0.21540276377277168,backhand,backhands_watch-right
70,1761072579590072320,12.559072494506836,0.0494623333215713,-0.1093140542507171,-0.1098199039697647,-0.2839591801166534,0.861213743686676,-0.4215185940265655,0.0496757924556732,-0.1104204058647155,-0.0111900568008422,0.3200575494731449,-0.349704936385763,0.4085916720509621,-0.7799502228202021,-1.037652974657743,-0.5928268362936574,-2.7080975328353083,12250,0.16265453016215467,backhand,backhands_watch-right
80,1761072579600118272,12.56911849975586,-0.0225569028407335,-0.1270430982112884,-0.0919588804244995,-0.2854039072990417,0.8608351945877075,-0.4213161468505859,0.0583073794841766,-0.0870468020439148,-0.0206546485424041,0.3199126108670145,-0.3503734079633987,0.4081426303562288,-0.7799448360445979,-1.0369086741394709,-0.5954037030349892,-2.7096785835438904,12260,0.15844620019999456,backhand,backhands_watch-right
90,1761072579610163456,12.579163551330566,-0.0574336573481559,-0.123686708509922,-0.1048126295208931,-0.2868509590625763,0.8606676459312439,-0.4206753671169281,0.0555429458618164,-0.0387834906578063,-0.0373019576072692,0.3197076900605066,-0.3511394360408743,0.4078767096636064,-0.7798235286111121,-1.0365795130807476,-0.5984624293743307,-2.7117417718995513,12270,0.17199626206835947,backhand,backhands_watch-right
