t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761072569262979328,2.2319793701171875,0.0466797612607479,-0.0354517214000225,-0.0032567942980676,-0.3116840124130249,0.7766258120536804,-0.5474536418914795,0.09719118475914,0.036316692829132,0.0834796428680419,0.3395523885921031,-0.3338498786414143,0.3388471986299217,-0.8114376947934447,-0.8892918378386753,-0.51756572337968,-2.599895311868305,1970,0.058706314572498586,backhand,backhands_watch-right
10,1761072569273024256,2.2420244216918945,0.0983278006315231,-0.0103229656815528,-0.0056125381961464,-0.3118402659893036,0.7762647271156311,-0.5478765964508057,0.0976068973541259,0.0540575385093688,0.0714972019195556,0.3397150797076309,-0.3338555349306988,0.3385294625366609,-0.8114998064652977,-0.888718797929073,-0.5174492457582534,-2.5993670123357764,1980,0.09902737289506511,backhand,backhands_watch-right
20,1761072569283070208,2.252070426940918,0.1721248030662536,0.0083236899226903,-0.0373603478074073,-0.312032401561737,0.7754795551300049,-0.5488781929016113,0.0977532267570495,0.0545833110809326,0.0645337104797363,0.3398682541504791,-0.3336940046786066,0.3379485424142329,-0.8117442217578286,-0.8874742777683982,-0.5169289565820127,-2.5986022805877544,1990,0.1763293147290493,backhand,backhands_watch-right
30,1761072569293116416,2.2621164321899414,0.1689004451036453,0.0399501249194145,-0.0568837150931358,-0.3122987151145935,0.7743765115737915,-0.5502822399139404,0.0979585349559784,0.0545876622200012,0.0675399303436279,0.339949297020141,-0.333410159215831,0.3371892058455968,-0.812142609124071,-0.8857291450973213,-0.5161982193256464,-2.5978603198681176,2000,0.18264481892482842,backhand,backhands_watch-right
40,1761072569303162368,2.272162437438965,0.101575993001461,0.0670046508312225,-0.070624828338623,-0.312108963727951,0.773984432220459,-0.5509411692619324,0.1004543006420135,0.0659966468811035,0.0981823801994323,0.3398555742470195,-0.3330851200642582,0.3370218554281204,-0.8123846658979702,-0.8851096842359846,-0.5154239656576545,-2.5976853314118995,2010,0.14069531607380137,backhand,backhands_watch-right
50,1761072569313208064,2.282208204269409,-0.0153380054980516,0.0961943939328193,-0.0958850905299186,-0.3119244873523712,0.7741700410842896,-0.5507846474647522,0.0995984673500061,0.0575407147407531,0.1260258555412292,0.3394594879655718,-0.332888709639753,0.3373318409028182,-0.8125019713897892,-0.8854028315784698,-0.5152922022351702,-2.5986454635806746,2020,0.13668418497650475,backhand,backhands_watch-right
60,1761072569323253248,2.292253255844116,-0.1129881292581558,0.1297584772109985,-0.1047510206699371,-0.3114633858203888,0.7749996185302734,-0.5498782992362976,0.0917673707008361,0.0435275435447692,0.1347782611846923,0.3387755466323101,-0.3326826506571201,0.3382057233523134,-0.8125086384788044,-0.8867145210347491,-0.515364119922608,-2.600537969135441,2030,0.20143573688094307,backhand,backhands_watch-right
70,1761072569333299200,2.3022992610931396,-0.169351115822792,0.180278480052948,-0.0858328938484191,-0.3101311028003692,0.7766257524490356,-0.5483348369598389,0.0765343010425567,0.0343941450119018,0.1163890361785888,0.3380304053056819,-0.3322642303959211,0.3397544117009152,-0.8123440442995294,-0.8892917485370828,-0.5147314376458728,-2.602459934851008,2040,0.2618156153995018,backhand,backhands_watch-right
80,1761072569343345152,2.312345266342163,-0.1600265800952911,0.2383425831794738,-0.0664368271827697,-0.3082450330257416,0.7785043120384216,-0.5467320680618286,0.0523093938827514,0.036482810974121,0.0888311266899108,0.3372975996300916,-0.3316220939494898,0.3415563624319822,-0.8121553455410592,-0.8922792634495694,-0.5133729592339539,-2.604100416199082,2050,0.2946685346279311,backhand,backhands_watch-right
90,1761072569353391104,2.3223912715911865,-0.1549646109342575,0.2883662283420563,-0.0742499232292175,-0.3060728311538696,0.7802457809448242,-0.5454685091972351,0.031658798456192,0.045285165309906,0.0813724398612976,0.336482451701053,-0.3307102075522057,0.3433606217405101,-0.8121044773285193,-0.8950586386165921,-0.5113399159700054,-2.605625226562875,2060,0.3356816399354803,backhand,backhands_watch-right
100,1761072569363436288,2.3324363231658936,-0.1118347123265266,0.3176862895488739,-0.0946505367755889,-0.303975373506546,0.7816339135169983,-0.544653594493866,0.0313923060894012,0.0432410836219787,0.0742098689079284,0.33542529220163,-0.3295859716012166,0.3450308354978053,-0.8122910960729032,-0.8972810546628649,-0.5090465918464638,-2.6075537209821267,2070,0.34984325856073745,backhand,backhands_watch-right
110,1761072569373482240,2.342482328414917,-0.0701632723212242,0.3340666890144348,-0.0798718556761741,-0.3020599484443664,0.7825242280960083,-0.5444406270980835,0.0456817746162414,0.0131453275680542,0.0669625997543335,0.3343076974587172,-0.3283284610077168,0.3463814532071675,-0.8126860432805326,-0.8987097233319843,-0.5065269816030187,-2.6094217706721574,2080,0.35057517142696365,backhand,backhands_watch-right
