time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
909408,0.89888000,0.03810414,0.00972588,0.01345635,-0.04644165,-0.02860057,0.99851112,-0.01361694,-0.00777639,0.00002402,0.00000036,-0.02322948,-0.01430560,0.99962768,0.04645838,-0.02863538,3.14092659
942120,0.93159198,0.02371516,-0.00319755,0.00999234,-0.04843523,-0.02866602,0.99841461,-0.00844953,-0.00014258,-0.00622714,-0.00001393,-0.02422703,-0.01433903,0.99960346,0.04845421,-0.02870365,3.14092493
974960,0.96443195,0.00559571,0.02371516,0.01625421,-0.05043316,-0.02858485,0.99831809,-0.01109027,0.00026453,0.00534403,-0.00003051,-0.02522676,-0.01429921,0.99957933,0.05045459,-0.02862518,3.14093136
1007748,0.99721994,0.03024349,0.01065850,0.01758652,-0.05224629,-0.02941135,0.99820098,-0.01220683,-0.00574490,0.02352750,-0.00003434,-0.02613440,-0.01471319,0.99955015,0.05227010,-0.02945584,3.14089131
1040584,1.03005599,0.05142726,0.00706126,0.02238285,-0.05424193,-0.02940764,0.99809436,-0.00264284,-0.00013337,0.00385874,-0.00005084,-0.02713315,-0.01471221,0.99952335,0.05426858,-0.02945527,3.14089488
1073448,1.06291997,0.03250842,0.03237519,0.00826034,-0.05471945,-0.03134173,0.99800949,-0.00045633,-0.00357038,-0.00875169,-0.00002859,-0.02737291,-0.01567945,0.99950218,0.05474681,-0.03139392,3.14079022
1106400,1.09587203,0.00746095,0.01985145,0.01811945,-0.05669836,-0.03106203,0.99790782,-0.01166102,0.00176515,-0.00376725,-0.00004940,-0.02836325,-0.01554055,0.99947681,0.05672878,-0.03111710,3.14080858
1139248,1.12872004,0.00546248,0.03437366,0.02331547,-0.05854042,-0.03183233,0.99777708,-0.00469200,-0.00210321,0.01735962,-0.00005474,-0.02928562,-0.01592663,0.99944410,0.05857392,-0.03189244,3.14076781
1172156,1.16162800,0.02424809,0.05462480,0.04076876,-0.06052108,-0.03211624,0.99765005,-0.01711563,-0.00304000,0.02163708,-0.00006957,-0.03027722,-0.01606967,0.99941234,0.06055809,-0.03218078,3.14075708
1205048,1.19451999,0.04210107,0.02917764,0.05355895,-0.05855694,-0.03242122,0.99775733,0.00142803,-0.00029362,0.00151020,-0.00005351,-0.02929403,-0.01622128,0.99943914,0.05859046,-0.03248266,3.14074778
1237928,1.22739994,0.02504747,0.08313629,0.04729709,-0.05667405,-0.03181174,0.99788570,0.00393968,0.00129417,-0.00325680,-0.00005093,-0.02835121,-0.01591573,0.99947128,0.05670444,-0.03186836,3.14079070
1270760,1.26023197,0.00599541,0.05489127,0.04063552,-0.05478606,-0.03242967,0.99797134,0.00229583,-0.00126173,0.01032948,-0.00003059,-0.02740644,-0.01622390,0.99949274,0.05481351,-0.03248417,3.14076328
1303624,1.29309595,0.01785299,0.06648239,0.03130934,-0.05292799,-0.03312736,0.99804859,0.00629713,-0.00300545,0.01244944,-0.00000836,-0.02647678,-0.01657199,0.99951200,0.05295275,-0.03317995,3.14073061
1336468,1.32594001,0.02211639,0.05835528,0.01065850,-0.05261444,-0.03509573,0.99799804,0.00012420,-0.00396677,0.00908208,0.00001953,-0.02632074,-0.01755614,0.99949941,0.05263875,-0.03515165,3.14062809
1369320,1.35879194,0.01438897,0.06435069,-0.00199847,-0.05152935,-0.03676599,0.99799432,0.00318950,-0.00522619,0.00322634,0.00005162,-0.02577855,-0.01839089,0.99949846,0.05155219,-0.03682323,3.14053988
1402224,1.39169597,0.02677948,0.12523735,-0.01039204,-0.05346322,-0.03732204,0.99787178,-0.01221061,-0.00418186,0.02654225,0.00004237,-0.02674664,-0.01866983,0.99946775,0.05348874,-0.03738421,3.14050769
1435128,1.42460002,0.04769678,0.08686677,-0.00852680,-0.05536580,-0.03795024,0.99774456,-0.02275920,-0.00794820,0.01202106,0.00003425,-0.02769917,-0.01898488,0.99943599,0.05539412,-0.03801770,3.14047074
1467992,1.45746397,0.04396631,0.08819909,-0.00759418,-0.05733939,-0.03755973,0.99764785,-0.02542428,0.00508903,-0.00375140,0.00001124,-0.02868678,-0.01879060,0.99941177,0.05737086,-0.03763051,3.14049029
1500884,1.49035596,0.00439663,0.08859878,0.00812710,-0.05934550,-0.03744894,0.99753437,-0.04392598,0.00278097,-0.01120627,-0.00000955,-0.02969088,-0.01873631,0.99938335,0.05938041,-0.03752388,3.14049720
1533708,1.52318000,-0.00199847,0.09366157,0.02038438,-0.06135417,-0.03739534,0.99741497,-0.02971028,0.00004183,0.01772171,-0.00003065,-0.03069636,-0.01871071,0.99935350,0.06139274,-0.03747470,3.14050316
1566588,1.55605993,0.02891118,0.06928025,0.02851149,-0.06332799,-0.03772990,0.99727926,-0.02285365,-0.00450643,0.01858992,-0.00004600,-0.03168468,-0.01887925,0.99931955,0.06337041,-0.03781480,3.14048600
1599396,1.58886804,0.03930321,0.04423277,0.01159112,-0.06473726,-0.03629708,0.99724178,-0.01021392,0.01090646,-0.00529838,-0.00008272,-0.03238947,-0.01816375,0.99931011,0.06478258,-0.03638142,3.14057922
1632252,1.62172403,0.01505513,0.09326187,0.01132465,-0.06639796,-0.03515997,0.99717340,-0.02710790,0.02026739,-0.02036679,-0.00011687,-0.03322041,-0.01759631,0.99929313,0.06644686,-0.03524503,3.14065504
1665112,1.65458402,-0.01385605,0.14828636,0.03130934,-0.06841173,-0.03503984,0.99704151,-0.05219374,0.00305742,0.00051707,-0.00013887,-0.03422875,-0.01753765,0.99926004,0.06846522,-0.03512936,3.14066743
1697996,1.68746805,-0.00452986,0.08966463,0.06235222,-0.07041141,-0.03519377,0.99689683,-0.03871945,-0.00386873,0.02629656,-0.00015893,-0.03523025,-0.01761616,0.99922380,0.07046973,-0.03528867,3.14066672
1730892,1.72036399,0.03011026,0.03424043,0.09259572,-0.07233228,-0.03572269,0.99674043,-0.03508960,-0.01017574,0.02010524,-0.00017430,-0.03619253,-0.01788224,0.99918470,0.07239551,-0.03582419,3.14064407
1763832,1.75330400,0.03011026,0.12936753,0.05462480,-0.07050555,-0.03646294,0.99684438,0.00141375,-0.00040229,-0.00245965,-0.00014875,-0.03527790,-0.01825113,0.99921073,0.07056411,-0.03656207,3.14059972
1796732,1.78620395,0.00279786,0.09419449,0.05116080,-0.07245588,-0.03598032,0.99672203,-0.04033709,0.01107798,-0.02162439,-0.00017915,-0.03625443,-0.01801142,0.99918003,0.07251945,-0.03608298,3.14064216
1829588,1.81905994,-0.02677948,0.02611332,0.05795559,-0.07444724,-0.03586775,0.99657945,-0.03541605,0.00242049,-0.01098376,-0.00020421,-0.03725182,-0.01795685,0.99914445,0.07451619,-0.03597533,3.14066028
1862512,1.85198402,-0.01598775,0.16533997,0.05542420,-0.07610986,-0.03699994,0.99641246,-0.01666358,-0.01109576,0.02726912,-0.00020246,-0.03808535,-0.01852431,0.99910268,0.07618355,-0.03711610,3.14058327
