t_rel_ms,time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw,timestamp,omega_mag,label,session_id
0,1761602728151198208,22.06319808959961,-0.0549054779112339,-0.0730282887816429,-0.0508663058280944,0.0489311777055263,0.4894004464149475,-0.870685338973999,0.0145606473088264,0.0149788260459899,-0.0050470829010009,0.3387158597458967,-0.1123082210975329,-0.2281319690760377,0.9058776269827742,-0.5114021036648668,0.0561394114868546,2.4406446524892447,21300,0.10457114102673479,forehand,forehands_watch-right
10,1761602728161242112,22.07324194908142,-0.0519706755876541,-0.0725214928388595,-0.0457216091454029,0.0481408014893531,0.4898764193058014,-0.8704617023468018,0.0150763653218746,0.0100472867488861,-0.0046145915985107,0.338812789871754,-0.112047933815995,-0.2285047427785219,0.9057795857228912,-0.5119479802081564,0.0552486253107426,2.440168865729431,21310,0.10025359638167065,forehand,forehands_watch-right
20,1761602728171287040,22.083287000656128,-0.0440184101462364,-0.0767972692847251,-0.0365861691534519,0.0473268590867519,0.4902936220169067,-0.8702714443206787,0.0131589658558368,0.0113543570041656,-0.0081770420074462,0.338870538732265,-0.1117539566582108,-0.2288565790542875,0.9057055832390064,-0.5124266005487974,0.0543282091585273,2.4397763627852855,21320,0.09578094160488226,forehand,forehands_watch-right
30,1761602728181332224,22.093332052230835,-0.0265366230159997,-0.0624175257980823,-0.0443396978080272,0.0465995259582996,0.4905755817890167,-0.8701517581939697,0.0111092217266559,0.0157720744609832,-0.0056722164154052,0.3389431235054914,-0.1114775141479231,-0.2291219952008198,0.905645304561455,-0.5127501682442019,0.053502223078962,2.4393846890843416,21330,0.08103177580156273,forehand,forehands_watch-right
40,1761602728191377152,22.103377103805546,-0.0207183491438627,-0.0579037964344024,-0.044432021677494,0.0459414906799793,0.4907556176185608,-0.8700852394104004,0.01149258390069,0.0162481665611267,-0.0057539939880371,0.3390468464678998,-0.1112212338238772,-0.2293190192228596,0.90558819237957,-0.5129567647306326,0.0527521510700531,2.438951525675672,21340,0.07587031160548245,forehand,forehands_watch-right
50,1761602728201421056,22.113420963287354,-0.0252896640449762,-0.0557615533471107,-0.0314866602420806,0.0453661791980266,0.4909778833389282,-0.8699899911880493,0.0151806958019733,0.0201610326766967,-0.0099233388900756,0.3391340102043175,-0.1110100626560828,-0.2295250792170535,0.9055291758614672,-0.5132118942967531,0.0520984460922156,2.4385753350257855,21350,0.068850037853226,forehand,forehands_watch-right
60,1761602728211465984,22.12346601486206,-0.0244721751660108,-0.0502849295735359,-0.0346949696540832,0.0448392778635025,0.4912440478801727,-0.8698670864105225,0.0169435553252697,0.0209019482135772,-0.0088255405426025,0.3392001497383261,-0.1108264252445059,-0.2297476060424345,0.9054705196335332,-0.5135174417138528,0.0515016910319452,2.4382564713333776,21360,0.06581187141290798,forehand,forehands_watch-right
70,1761602728221511168,22.133511066436768,-0.0238950680941343,-0.0568429604172706,-0.0319854691624641,0.0443138033151626,0.4915261566638946,-0.8697346448898315,0.017514806240797,0.0198111236095428,-0.0078288316726684,0.3392641455045824,-0.1106463718339499,-0.2299783948654486,0.9054099515057084,-0.5138413434310455,0.0509069279637686,2.437941091708096,21370,0.06946341962332152,forehand,forehands_watch-right
80,1761602728231555072,22.14355492591858,-0.0227986443787813,-0.0572818517684936,-0.0199748799204826,0.0437848530709743,0.4917716383934021,-0.8696226477622986,0.0220568105578422,0.0185738205909729,-0.0092682838439941,0.3392865829100878,-0.1104463496712552,-0.2301961479895849,0.905370713582612,-0.5141232500024664,0.0503067715358496,2.4377190706418452,21380,0.06480728782610416,forehand,forehands_watch-right
90,1761602728241600000,22.15359997749329,-0.0333809815347194,-0.0578701421618461,-0.0093693733215332,0.0432752594351768,0.4920351505279541,-0.8694990873336792,0.0233446136116981,0.0159451961517334,-0.0082169771194458,0.3392523739558665,-0.1102452137653621,-0.2304266730119382,0.9053492926478712,-0.5144259217870379,0.0497293011795617,2.4376257962650536,21390,0.06746131067872764,forehand,forehands_watch-right
